iter	Passed	Remaining
0	2	2988
1	5	2599
2	7	2377
3	8	2232
4	10	2186
5	14	2326
6	19	2809
7	22	2768
8	24	2650
9	25	2553
10	27	2480
11	30	2475
12	32	2450
13	34	2415
14	36	2365
15	37	2313
16	39	2271
17	40	2227
18	42	2192
19	44	2180
20	46	2184
21	49	2181
22	51	2173
23	52	2154
24	54	2128
25	56	2103
26	57	2079
27	60	2114
28	63	2115
29	65	2102
30	66	2093
31	68	2085
32	70	2075
33	72	2070
34	75	2094
35	78	2101
36	80	2099
37	82	2095
38	84	2091
39	86	2083
40	88	2076
41	92	2099
42	94	2095
43	97	2107
44	99	2105
45	101	2095
46	102	2085
47	105	2088
48	107	2094
49	109	2085
50	111	2080
51	113	2071
52	115	2061
53	117	2056
54	119	2054
55	121	2051
56	123	2040
57	125	2031
58	126	2022
59	128	2014
60	130	2011
61	132	2006
62	135	2020
63	137	2015
64	139	2009
65	141	2001
66	143	1995
67	145	1990
68	147	1986
69	149	1983
70	151	1984
71	153	1977
72	155	1972
73	157	1965
74	158	1960
75	160	1954
76	162	1949
77	166	1972
78	168	1968
79	171	1966
80	173	1964
81	175	1960
82	176	1945
83	177	1939
84	181	1957
85	183	1951
86	185	1946
87	187	1940
88	189	1943
89	191	1936
90	193	1933
91	197	1947
92	199	1947
93	201	1944
94	203	1941
95	205	1938
96	207	1931
97	210	1932
98	212	1933
99	214	1928
100	216	1923
101	217	1917
102	219	1912
103	221	1907
104	223	1901
105	225	1899
106	227	1897
107	229	1893
108	230	1887
109	232	1883
110	234	1878
111	236	1872
112	238	1870
113	240	1871
114	243	1870
115	246	1878
116	248	1871
117	250	1869
118	251	1864
119	255	1875
120	257	1873
121	259	1868
122	261	1866
123	263	1863
124	265	1860
125	267	1857
126	270	1856
127	272	1853
128	273	1850
129	275	1843
130	277	1838
131	278	1833
132	280	1830
133	283	1830
134	285	1829
135	287	1827
136	290	1829
137	292	1826
138	294	1822
139	295	1817
140	297	1813
141	299	1807
142	301	1804
143	303	1804
144	305	1799
145	306	1794
146	308	1789
147	310	1785
148	311	1779
149	315	1786
150	317	1783
151	319	1779
152	320	1775
153	322	1770
154	324	1766
155	325	1763
156	328	1765
157	330	1763
158	332	1760
159	334	1757
160	336	1751
161	337	1747
162	339	1745
163	342	1746
164	344	1745
165	346	1742
166	348	1739
167	350	1735
168	352	1732
169	354	1729
170	356	1728
171	359	1728
172	361	1726
173	363	1723
174	365	1722
175	367	1719
176	368	1715
177	371	1714
178	373	1712
179	376	1714
180	378	1710
181	379	1706
182	381	1702
183	383	1698
184	384	1694
185	387	1696
186	389	1693
187	392	1694
188	394	1691
189	396	1689
190	398	1686
191	400	1684
192	402	1683
193	404	1679
194	406	1677
195	407	1673
196	409	1670
197	411	1666
198	413	1662
199	415	1661
200	417	1659
201	419	1657
202	421	1655
203	423	1652
204	425	1649
205	427	1646
206	428	1643
207	431	1644
208	434	1643
209	437	1644
210	438	1640
211	440	1638
212	442	1635
213	444	1634
214	447	1633
215	449	1630
216	451	1629
217	454	1628
218	456	1627
219	459	1629
220	462	1629
221	464	1626
222	466	1625
223	469	1626
224	472	1626
225	475	1627
226	477	1627
227	480	1627
228	482	1624
229	484	1622
230	486	1619
231	490	1622
232	492	1621
233	495	1621
234	497	1620
235	499	1618
236	501	1615
237	504	1616
238	508	1617
239	510	1616
240	512	1614
241	515	1613
242	517	1610
243	519	1610
244	522	1609
245	524	1608
246	526	1605
247	528	1602
248	530	1599
249	532	1596
250	535	1596
251	537	1594
252	539	1592
253	541	1590
254	543	1589
255	546	1587
256	548	1584
257	551	1585
258	553	1584
259	556	1582
260	558	1580
261	560	1577
262	562	1577
263	565	1577
264	568	1575
265	570	1574
266	572	1572
267	575	1570
268	576	1567
269	580	1569
270	582	1568
271	585	1568
272	587	1565
273	589	1563
274	592	1560
275	594	1559
276	597	1558
277	599	1556
278	600	1552
279	602	1549
280	605	1548
281	608	1548
282	611	1550
283	614	1548
284	616	1546
285	618	1544
286	620	1542
287	625	1547
288	629	1547
289	630	1544
290	632	1542
291	635	1540
292	637	1538
293	640	1538
294	642	1535
295	645	1534
296	647	1532
297	650	1531
298	651	1528
299	655	1528
300	657	1526
301	659	1524
302	661	1521
303	663	1518
304	665	1516
305	667	1514
306	671	1516
307	673	1513
308	675	1510
309	677	1506
310	678	1503
311	680	1500
312	682	1498
313	685	1497
314	687	1494
315	689	1492
316	691	1489
317	693	1486
318	695	1484
319	697	1482
320	699	1480
321	702	1478
322	704	1476
323	705	1472
324	707	1469
325	709	1466
326	711	1464
327	713	1462
328	716	1461
329	718	1459
330	720	1456
331	722	1453
332	724	1450
333	725	1447
334	728	1445
335	730	1444
336	732	1441
337	734	1438
338	736	1435
339	738	1433
340	740	1430
341	744	1431
342	746	1430
343	748	1427
344	750	1424
345	751	1420
346	753	1417
347	754	1414
348	757	1412
349	759	1410
350	761	1408
351	763	1404
352	765	1402
353	766	1399
354	768	1396
355	770	1393
356	772	1391
357	774	1389
358	776	1387
359	778	1384
360	780	1381
361	782	1378
362	783	1375
363	786	1374
364	789	1372
365	790	1370
366	792	1367
367	795	1365
368	797	1363
369	798	1360
370	801	1358
371	803	1356
372	805	1353
373	807	1351
374	809	1348
375	811	1346
376	813	1343
377	815	1341
378	817	1339
379	819	1336
380	821	1334
381	822	1331
382	824	1328
383	826	1325
384	827	1322
385	829	1319
386	831	1317
387	833	1315
388	835	1312
389	837	1309
390	838	1306
391	840	1303
392	842	1301
393	844	1298
394	846	1296
395	848	1294
396	850	1291
397	852	1290
398	855	1287
399	856	1285
400	859	1283
401	861	1281
402	863	1279
403	865	1277
404	868	1275
405	870	1273
